x,y,p1,p2
9.74818029,6.817370816,0.74818029,0.778106458
15.00613954,23.19399637,0.006139535,0.58965984
20.26409878,39.57062193,0.26409878,0.401213222
25.52205803,55.94724748,0.522058026,0.212766604
30.78001727,72.32387304,0.780017271,0.024319985
36.03797652,88.70049859,0.037976517,0.835873367
41.29593576,105.0771241,0.295935762,0.647426749
46.55389501,121.4537497,0.553895007,0.458980131
51.81185425,137.8303753,0.811854253,0.270533512
57.0698135,154.2070008,0.069813498,0.082086894
62.32777274,170.5836264,0.327772743,0.893640276
67.58573199,186.9602519,0.585731989,0.705193657
72.84369123,203.3368775,0.843691234,0.516747039
78.10165048,219.713503,0.101650479,0.328300421
83.35960972,236.0901286,0.359609725,0.139853803
88.61756897,252.4667541,0.61756897,0.951407184
93.87552822,268.8433797,0.875528216,0.762960566
99.13348746,285.2200053,0.133487461,0.574513948
104.3914467,301.5966308,0.391446706,0.386067329
109.649406,317.9732564,0.649405952,0.197620711
114.9073652,334.3498819,0.907365197,0.009174093
120.1653244,350.7265075,0.165324442,0.820727475
125.4232837,367.103133,0.423283688,0.632280856
130.6812429,383.4797586,0.681242933,0.443834238
135.9392022,399.8563841,0.939202179,0.25538762
141.1971614,416.2330097,0.197161424,0.066941001
146.4551207,432.6096353,0.455120669,0.878494383
151.7130799,448.9862608,0.713079915,0.690047765
156.9710392,465.3628864,0.97103916,0.501601147
162.2289984,481.7395119,0.228998405,0.313154528
167.4869577,498.1161375,0.486957651,0.12470791
172.7449169,514.492763,0.744916896,0.936261292
178.0028761,530.8693886,0.002876141,0.747814674
183.2608354,547.2460141,0.260835387,0.559368055
188.5187946,563.6226397,0.518794632,0.370921437
193.7767539,579.9992652,0.776753878,0.182474819
199.0347131,596.3758908,0.034713123,0.9940282
204.2926724,612.7525164,0.292672368,0.805581582
209.5506316,629.1291419,0.550631614,0.617134964
214.8085909,645.5057675,0.808590859,0.428688346
220.0665501,661.882393,0.066550104,0.240241727
225.3245093,678.2590186,0.32450935,0.051795109
230.5824686,694.6356441,0.582468595,0.863348491
235.8404278,711.0122697,0.84042784,0.674901872
241.0983871,727.3888952,0.098387086,0.486455254
246.3563463,743.7655208,0.356346331,0.298008636
251.6143056,760.1421464,0.614305577,0.109562018
256.8722648,776.5187719,0.872264822,0.921115399
262.1302241,792.8953975,0.130224067,0.732668781
267.3881833,809.272023,0.388183313,0.544222163
272.6461426,825.6486486,0.646142558,0.355775545
23.98658162,4.075486893,0.986581624,0.522765994
29.24454087,20.45211245,0.244540869,0.334319375
34.50250011,36.828738,0.502500115,0.145872757
39.76045936,53.20536356,0.76045936,0.957426139
45.01841861,69.58198911,0.018418605,0.768979521
50.27637785,85.95861467,0.276377851,0.580532902
55.5343371,102.3352402,0.534337096,0.392086284
60.79229634,118.7118658,0.792296341,0.203639666
66.05025559,135.0884913,0.050255587,0.015193047
71.30821483,151.4651169,0.308214832,0.826746429
76.56617408,167.8417424,0.566174077,0.638299811
81.82413332,184.218368,0.824133323,0.449853193
87.08209257,200.5949936,0.082092568,0.261406574
92.34005181,216.9716191,0.340051814,0.072959956
97.59801106,233.3482447,0.598011059,0.884513338
102.8559703,249.7248702,0.855970304,0.696066719
108.1139295,266.1014958,0.11392955,0.507620101
113.3718888,282.4781213,0.371888795,0.319173483
118.629848,298.8547469,0.62984804,0.130726865
123.8878073,315.2313724,0.887807286,0.942280246
129.1457665,331.607998,0.145766531,0.753833628
134.4037258,347.9846236,0.403725777,0.56538701
139.661685,364.3612491,0.661685022,0.376940392
144.9196443,380.7378747,0.919644267,0.188493773
150.1776035,397.1145002,0.177603513,4.72E-05
155.4355628,413.4911258,0.435562758,0.811600537
160.693522,429.8677513,0.693522003,0.623153918
165.9514812,446.2443769,0.951481249,0.4347073
171.2094405,462.6210024,0.209440494,0.246260682
176.4673997,478.997628,0.467399739,0.057814064
181.725359,495.3742535,0.725358985,0.869367445
186.9833182,511.7508791,0.98331823,0.680920827
192.2412775,528.1275047,0.241277476,0.492474209
197.4992367,544.5041302,0.499236721,0.30402759
202.757196,560.8807558,0.757195966,0.115580972
208.0151552,577.2573813,0.015155212,0.927134354
213.2731145,593.6340069,0.273114457,0.738687736
218.5310737,610.0106324,0.531073702,0.550241117
223.7890329,626.387258,0.789032948,0.361794499
229.0469922,642.7638835,0.046992193,0.173347881
234.3049514,659.1405091,0.304951438,0.984901262
239.5629107,675.5171347,0.562910684,0.796454644
244.8208699,691.8937602,0.820869929,0.608008026
250.0788292,708.2703858,0.078829175,0.419561408
255.3367884,724.6470113,0.33678842,0.231114789
260.5947477,741.0236369,0.594747665,0.042668171
265.8527069,757.4002624,0.852706911,0.854221553
271.1106662,773.776888,0.110666156,0.665774935
276.3686254,790.1535135,0.368625401,0.477328316
281.6265846,806.5301391,0.626584647,0.288881698
286.8845439,822.9067647,0.884543892,0.10043508
38.22498296,1.333602969,0.224982958,0.267425529
43.4829422,17.71022852,0.482942203,0.078978911
48.74090145,34.08685408,0.740901449,0.890532292
53.99886069,50.46347963,0.998860694,0.702085674
59.25681994,66.84010519,0.256819939,0.513639056
64.51477918,83.21673075,0.514779185,0.325192437
69.77273843,99.5933563,0.77273843,0.136745819
75.03069768,115.9699819,0.030697675,0.948299201
80.28865692,132.3466074,0.288656921,0.759852583
85.54661617,148.723233,0.546616166,0.571405964
90.80457541,165.0998585,0.804575412,0.382959346
96.06253466,181.4764841,0.062534657,0.194512728
101.3204939,197.8531096,0.320493902,0.00606611
106.5784531,214.2297352,0.578453148,0.817619491
111.8364124,230.6063607,0.836412393,0.629172873
117.0943716,246.9829863,0.094371638,0.440726255
122.3523309,263.3596119,0.352330884,0.252279636
127.6102901,279.7362374,0.610290129,0.063833018
132.8682494,296.112863,0.868249375,0.8753864
138.1262086,312.4894885,0.12620862,0.686939782
143.3841679,328.8661141,0.384167865,0.498493163
148.6421271,345.2427396,0.642127111,0.310046545
153.9000864,361.6193652,0.900086356,0.121599927
159.1580456,377.9959907,0.158045601,0.933153308
164.4160048,394.3726163,0.416004847,0.74470669
169.6739641,410.7492418,0.673964092,0.556260072
174.9319233,427.1258674,0.931923337,0.367813454
180.1898826,443.502493,0.189882583,0.179366835
185.4478418,459.8791185,0.447841828,0.990920217
190.7058011,476.2557441,0.705801074,0.802473599
195.9637603,492.6323696,0.963760319,0.61402698
201.2217196,509.0089952,0.221719564,0.425580362
206.4796788,525.3856207,0.47967881,0.237133744
211.7376381,541.7622463,0.737638055,0.048687126
216.9955973,558.1388718,0.9955973,0.860240507
222.2535565,574.5154974,0.253556546,0.671793889
227.5115158,590.892123,0.511515791,0.483347271
232.769475,607.2687485,0.769475036,0.294900653
238.0274343,623.6453741,0.027434282,0.106454034
243.2853935,640.0219996,0.285393527,0.918007416
248.5433528,656.3986252,0.543352773,0.729560798
253.801312,672.7752507,0.801312018,0.541114179
259.0592713,689.1518763,0.059271263,0.352667561
264.3172305,705.5285018,0.317230509,0.164220943
269.5751898,721.9051274,0.575189754,0.975774325
274.833149,738.281753,0.833148999,0.787327706
280.0911082,754.6583785,0.091108245,0.598881088
285.3490675,771.0350041,0.34906749,0.41043447
290.6070267,787.4116296,0.607026735,0.221987851
295.864986,803.7882552,0.864985981,0.033541233
301.1229452,820.1648807,0.122945226,0.845094615
52.46338429,-1.408280954,0.463384292,0.012085064
57.72134354,14.9683446,0.721343537,0.823638446
62.97930278,31.34497016,0.979302783,0.635191827
68.23726203,47.72159571,0.237262028,0.446745209
73.49522127,64.09822127,0.495221273,0.258298591
78.75318052,80.47484682,0.753180519,0.069851973
84.01113976,96.85147238,0.011139764,0.881405354
89.26909901,113.2280979,0.26909901,0.692958736
94.52705825,129.6047235,0.527058255,0.504512118
99.7850175,145.981349,0.7850175,0.3160655
105.0429767,162.3579746,0.042976746,0.127618881
110.300936,178.7346002,0.300935991,0.939172263
115.5588952,195.1112257,0.558895236,0.750725645
120.8168545,211.4878513,0.816854482,0.562279026
126.0748137,227.8644768,0.074813727,0.373832408
131.332773,244.2411024,0.332772973,0.18538579
136.5907322,260.6177279,0.590732218,0.996939172
141.8486915,276.9943535,0.848691463,0.808492553
147.1066507,293.370979,0.106650709,0.620045935
152.36461,309.7476046,0.364609954,0.431599317
157.6225692,326.1242301,0.622569199,0.243152698
162.8805284,342.5008557,0.880528445,0.05470608
168.1384877,358.8774813,0.13848769,0.866259462
173.3964469,375.2541068,0.396446935,0.677812844
178.6544062,391.6307324,0.654406181,0.489366225
183.9123654,408.0073579,0.912365426,0.300919607
189.1703247,424.3839835,0.170324672,0.112472989
194.4282839,440.760609,0.428283917,0.924026371
199.6862432,457.1372346,0.686243162,0.735579752
204.9442024,473.5138601,0.944202408,0.547133134
210.2021617,489.8904857,0.202161653,0.358686516
215.4601209,506.2671113,0.460120898,0.170239897
220.7180801,522.6437368,0.718080144,0.981793279
225.9760394,539.0203624,0.976039389,0.793346661
231.2339986,555.3969879,0.233998634,0.604900043
236.4919579,571.7736135,0.49195788,0.416453424
241.7499171,588.150239,0.749917125,0.228006806
247.0078764,604.5268646,0.007876371,0.039560188
252.2658356,620.9034901,0.265835616,0.851113569
257.5237949,637.2801157,0.523794861,0.662666951
262.7817541,653.6567413,0.781754107,0.474220333
268.0397134,670.0333668,0.039713352,0.285773715
273.2976726,686.4099924,0.297672597,0.097327096
278.5556318,702.7866179,0.555631843,0.908880478
283.8135911,719.1632435,0.813591088,0.72043386
289.0715503,735.539869,0.071550333,0.531987241
294.3295096,751.9164946,0.329509579,0.343540623
299.5874688,768.2931201,0.587468824,0.155094005
304.8454281,784.6697457,0.84542807,0.966647387
310.1033873,801.0463712,0.103387315,0.778200768
315.3613466,817.4229968,0.36134656,0.58975415
66.70178563,-4.150164878,0.701785626,0.756744599
71.95974487,12.22646068,0.959744871,0.568297981
77.21770412,28.60308623,0.217704117,0.379851363
82.47566336,44.97971179,0.475663362,0.191404744
87.73362261,61.35633734,0.733622608,0.002958126
92.99158185,77.7329629,0.991581853,0.814511508
98.2495411,94.10958845,0.249541098,0.62606489
103.5075003,110.486214,0.507500344,0.437618271
108.7654596,126.8628396,0.765459589,0.249171653
114.0234188,143.2394651,0.023418834,0.060725035
119.2813781,159.6160907,0.28137808,0.872278416
124.5393373,175.9927162,0.539337325,0.683831798
129.7972966,192.3693418,0.797296571,0.49538518
135.0552558,208.7459673,0.055255816,0.306938562
140.3132151,225.1225929,0.313215061,0.118491943
145.5711743,241.4992184,0.571174307,0.930045325
150.8291336,257.875844,0.829133552,0.741598707
156.0870928,274.2524696,0.087092797,0.553152089
161.345052,290.6290951,0.345052043,0.36470547
166.6030113,307.0057207,0.603011288,0.176258852
171.8609705,323.3823462,0.860970533,0.987812234
177.1189298,339.7589718,0.118929779,0.799365615
182.376889,356.1355973,0.376889024,0.610918997
187.6348483,372.5122229,0.63484827,0.422472379
192.8928075,388.8888484,0.892807515,0.234025761
198.1507668,405.265474,0.15076676,0.045579142
203.408726,421.6420996,0.408726006,0.857132524
208.6666853,438.0187251,0.666685251,0.668685906
213.9246445,454.3953507,0.924644496,0.480239287
219.1826037,470.7719762,0.182603742,0.291792669
